mean 100 episode reward,steps,% time spent exploring,episodes
-1.3,334780,83,89300
-1.6,335232,83,89400
-1.3,335626,83,89500
-1.4,336013,83,89600
-1.1,336379,83,89700
-1.3,336813,83,89800
-1.2,337226,83,89900
-1.2,337634,83,90000
-1.4,338050,83,90100
-1.3,338437,83,90200
-1.3,338838,83,90300
-1.4,339308,83,90400
-1.2,339708,83,90500
-1.4,340113,83,90600
-1.3,340510,83,90700
-1.2,340881,83,90800
-1.1,341281,83,90900
-1.4,341685,83,91000
-1.2,342071,83,91100
-1.2,342444,83,91200
-1.1,342832,83,91300
-1.3,343284,83,91400
-1.4,343709,83,91500
-1.2,344115,83,91600
-1.2,344570,83,91700
-1.1,344955,83,91800
-1.0,345360,83,91900
-1.2,345740,83,92000
-1.2,346134,83,92100
-1.1,346536,83,92200
-1.1,346917,83,92300
-1.3,347307,82,92400
-1.3,347704,82,92500
-1.3,348118,82,92600
-1.3,348543,82,92700
-1.2,348928,82,92800
-1.3,349321,82,92900
-1.1,349689,82,93000
-1.2,350114,82,93100
-1.2,350519,82,93200
-1.2,350923,82,93300
-1.4,351367,82,93400
-1.2,351752,82,93500
-1.2,352173,82,93600
-1.3,352595,82,93700
-1.2,352957,82,93800
-1.4,353397,82,93900
-1.3,353810,82,94000
-1.2,354232,82,94100
-1.5,354690,82,94200
-1.2,355118,82,94300
-1.3,355526,82,94400
-1.1,355919,82,94500
-1.2,356354,82,94600
-1.0,356757,82,94700
-1.3,357173,82,94800
-1.4,357616,82,94900
-1.3,358011,82,95000
-1.3,358409,82,95100
-1.1,358827,82,95200
-1.3,359267,82,95300
-1.3,359695,82,95400
-1.2,360071,82,95500
-1.2,360472,82,95600
-1.4,360909,82,95700
-1.2,361385,82,95800
-1.1,361825,82,95900
-1.2,362293,82,96000
-1.2,362694,82,96100
-1.2,363070,82,96200
-1.2,363443,82,96300
-1.2,363807,82,96400
-1.0,364206,82,96500
-1.3,364584,82,96600
-1.2,364940,82,96700
-1.4,365347,82,96800
-1.5,365756,82,96900
-1.1,366180,82,97000
-1.2,366593,82,97100
-1.1,367026,82,97200
-1.2,367395,81,97300
-1.2,367779,81,97400
-1.2,368161,81,97500
-1.3,368582,81,97600
-1.2,369022,81,97700
-1.4,369447,81,97800
-1.3,369869,81,97900
-1.2,370231,81,98000
-1.0,370620,81,98100
-1.4,371013,81,98200
-1.4,371471,81,98300
-1.1,371869,81,98400
-1.2,372231,81,98500
-1.4,372645,81,98600
-1.1,373002,81,98700
-1.2,373400,81,98800
-1.0,373793,81,98900
-1.1,374205,81,99000
-1.2,374611,81,99100
-1.1,375013,81,99200
-1.4,375500,81,99300
-1.3,375897,81,99400
-1.2,376302,81,99500
-1.1,376714,81,99600
-1.3,377108,81,99700
-1.3,377514,81,99800
-1.1,377903,81,99900
-1.0,378305,81,100000
-1.2,378741,81,100100
-1.2,379130,81,100200
-1.3,379542,81,100300
-1.1,379991,81,100400
-1.3,380407,81,100500
-1.2,380777,81,100600
-1.3,381186,81,100700
-1.2,381593,81,100800
-1.2,382026,81,100900
-1.1,382403,81,101000
-1.4,382831,81,101100
-1.2,383240,81,101200
-1.1,383630,81,101300
-1.4,384083,81,101400
-1.1,384504,81,101500
-1.1,384956,81,101600
-1.1,385388,81,101700
-1.2,385784,81,101800
-1.3,386166,81,101900
-1.0,386532,81,102000
-1.1,386920,81,102100
-1.1,387322,81,102200
-1.0,387711,81,102300
-1.3,388124,80,102400
-1.2,388516,80,102500
-1.2,388963,80,102600
-1.2,389374,80,102700
-1.4,389787,80,102800
-1.3,390269,80,102900
-1.2,390713,80,103000
-1.3,391109,80,103100
-1.2,391512,80,103200
-1.4,391923,80,103300
-1.1,392349,80,103400
-1.3,392763,80,103500
-1.2,393179,80,103600
-1.0,393565,80,103700
-1.1,393983,80,103800
-1.4,394426,80,103900
-1.2,394856,80,104000
-1.2,395294,80,104100
-1.4,395724,80,104200
-1.1,396111,80,104300
-1.3,396474,80,104400
-1.1,396883,80,104500
-1.2,397273,80,104600
-1.2,397705,80,104700
-1.0,398119,80,104800
-1.3,398510,80,104900
-1.2,398943,80,105000
-1.2,399349,80,105100
-1.1,399763,80,105200
-1.1,400190,80,105300
-1.2,400683,80,105400
-1.2,401076,80,105500
-1.4,401502,80,105600
-1.3,401894,80,105700
-1.3,402325,80,105800
-1.4,402739,80,105900
-1.4,403141,80,106000
-1.1,403558,80,106100
-1.4,403973,80,106200
-1.1,404339,80,106300
-1.1,404777,80,106400
-1.0,405155,80,106500
-1.3,405550,80,106600
-1.2,405972,80,106700
-1.2,406399,80,106800
